Nom,Age,Nationalite,Prix_Raw,URL_Profil,Matchs_22_23,Buts_22_23,Passes_22_23,Minutes_22_23,Position
Nikola Vlašić,,Croatie,"10,60 mio. €",https://www.transfermarkt.fr/nikola-vlasic/profil/spieler/293200,37,5,8,2983,À récupérer
Pablo Fornals,,Espagne,"8,00 mio. €",https://www.transfermarkt.fr/pablo-fornals/profil/spieler/357885,50,7,2,2303,À récupérer
Nicolás Domínguez,,Argentine,"6,65 mio. €",https://www.transfermarkt.fr/nicolas-dominguez/profil/spieler/497291,34,3,2,2485,À récupérer
Mateo Retegui,,Italie,"15,25 mio. €",https://www.transfermarkt.fr/mateo-retegui/profil/spieler/554903,28,12,1,2357,À récupérer
Jordan Beyer,,Allemagne,"15,00 mio. €",https://www.transfermarkt.fr/jordan-beyer/profil/spieler/403898,35,1,2,2954,À récupérer
Mateo Retegui,,Italie,"8,43 mio. €",https://www.transfermarkt.fr/mateo-retegui/profil/spieler/554903,28,12,1,2357,À récupérer
Max Aarons,,Angleterre,"8,10 mio. €",https://www.transfermarkt.fr/max-aarons/profil/spieler/471690,48,1,2,4040,À récupérer
Sergi Darder,,Espagne,"8,00 mio. €",https://www.transfermarkt.fr/sergi-darder/profil/spieler/142021,41,7,4,3449,À récupérer
Odysseas Vlachodimos,,Grèce,"4,90 mio. €",https://www.transfermarkt.fr/odysseas-vlachodimos/profil/spieler/124419,54,0,3,4888,À récupérer
Moatasem Al-Musrati,,Libye,"Montant du prêt:1,00 mio. €",https://www.transfermarkt.fr/moatasem-al-musrati/profil/spieler/377641,41,5,2,3470,À récupérer
Ben Brereton Díaz,,Chili,Tr. libre,https://www.transfermarkt.fr/ben-brereton-diaz/profil/spieler/426192,50,16,4,3911,À récupérer
Gift Orban,,Nigeria,"14,00 mio. €",https://www.transfermarkt.fr/gift-orban/profil/spieler/1018259,22,20,2,1671,À récupérer
Robin Gosens,,Allemagne,"13,00 mio. €",https://www.transfermarkt.fr/robin-gosens/profil/spieler/273132,49,4,0,1826,À récupérer
Arsen Zakharyan,,Russie,"13,00 mio. €",https://www.transfermarkt.fr/arsen-zakharyan/profil/spieler/555143,37,5,10,2905,À récupérer
Noa Lang,,Pays-Bas,"12,50 mio. €",https://www.transfermarkt.fr/noa-lang/profil/spieler/339332,40,12,8,2862,À récupérer
Anton Stach,,Allemagne,"12,00 mio. €",https://www.transfermarkt.fr/anton-stach/profil/spieler/344069,33,1,4,2291,À récupérer
Matteo Pessina,,Italie,"12,00 mio. €",https://www.transfermarkt.fr/matteo-pessina/profil/spieler/332179,36,5,3,2995,À récupérer
Giovanni Simeone,,Argentine,"12,00 mio. €",https://www.transfermarkt.fr/giovanni-simeone/profil/spieler/282388,33,9,1,766,À récupérer
Tommaso Baldanzi,,Italie,"11,50 mio. €",https://www.transfermarkt.fr/tommaso-baldanzi/profil/spieler/641537,27,4,0,1825,À récupérer
Ruslan Malinovskyi,,Ukraine,"10,00 mio. €",https://www.transfermarkt.fr/ruslan-malinovskyi/profil/spieler/207877,38,3,3,2029,À récupérer
Sergio Canales,,Espagne,"10,00 mio. €",https://www.transfermarkt.fr/sergio-canales/profil/spieler/66106,47,8,3,3445,À récupérer
Davinson Sánchez,,Colombie,"9,50 mio. €",https://www.transfermarkt.fr/davinson-sanchez/profil/spieler/341429,24,0,0,1231,À récupérer
Iván Fresneda,,Espagne,"9,00 mio. €",https://www.transfermarkt.fr/ivan-fresneda/profil/spieler/946883,24,0,0,1844,À récupérer
Artem Dovbyk,,Ukraine,"7,75 mio. €",https://www.transfermarkt.fr/artem-dovbyk/profil/spieler/343537,39,29,8,3437,À récupérer
Abde Ezzalzouli,,Maroc,"7,50 mio. €",https://www.transfermarkt.fr/abde-ezzalzouli/profil/spieler/724520,34,6,2,1903,À récupérer
Diogo Leite,,Portugal,"7,00 mio. €",https://www.transfermarkt.fr/diogo-leite/profil/spieler/357156,40,0,1,3292,À récupérer
Tiago Djaló,,Portugal,"5,10 mio. €",https://www.transfermarkt.fr/tiago-djalo/profil/spieler/420465,26,2,1,2111,À récupérer
Carlos Alcaraz,,Argentine,"Montant du prêt:3,90 mio. €",https://www.transfermarkt.fr/carlos-alcaraz/profil/spieler/748319,21,4,2,1259,À récupérer
Hugo Ekitiké,,France,"Montant du prêt:3,50 mio. €",https://www.transfermarkt.fr/hugo-ekitike/profil/spieler/709726,32,4,4,1396,À récupérer
Callum Hudson-Odoi,,Angleterre,"3,50 mio. €",https://www.transfermarkt.fr/callum-hudson-odoi/profil/spieler/392768,21,1,1,1074,À récupérer
Vitinha,,Portugal,"Montant du prêt:3,00 mio. €",https://www.transfermarkt.fr/vitinha/profil/spieler/586853,43,15,6,2305,À récupérer
Ruslan Malinovskyi,,Ukraine,"Montant du prêt:3,00 mio. €",https://www.transfermarkt.fr/ruslan-malinovskyi/profil/spieler/207877,38,3,3,2029,À récupérer
Arthur Melo,,Brésil,"Montant du prêt:2,00 mio. €",https://www.transfermarkt.fr/arthur-melo/profil/spieler/362842,4,0,0,256,À récupérer
Renato Sanches,,Portugal,"Montant du prêt:1,00 mio. €",https://www.transfermarkt.fr/renato-sanches/profil/spieler/258027,27,2,0,905,À récupérer
Maxime Lopez,,France,"Montant du prêt:1,00 mio. €",https://www.transfermarkt.fr/maxime-lopez/profil/spieler/290862,31,0,0,2342,À récupérer
Alexis Saelemaekers,,Belgique,Montant du prêt:500 K €,https://www.transfermarkt.fr/alexis-saelemaekers/profil/spieler/381950,39,4,3,1838,À récupérer
Çağlar Söyüncü,,Turquie,Tr. libre,https://www.transfermarkt.fr/caglar-soyuncu/profil/spieler/320141,9,1,0,709,À récupérer
N'Golo Kanté,,France,Tr. libre,https://www.transfermarkt.fr/ngolo-kante/profil/spieler/225083,9,0,1,685,À récupérer
Joakim Maehle,,Danemark,"12,50 mio. €",https://www.transfermarkt.fr/joakim-maehle/profil/spieler/369674,36,3,3,2392,À récupérer
Attila Szalai,,Hongrie,"12,30 mio. €",https://www.transfermarkt.fr/attila-szalai/profil/spieler/263380,52,3,2,4630,À récupérer
Timothy Weah,,États-Unis,"11,00 mio. €",https://www.transfermarkt.fr/timothy-weah/profil/spieler/370846,32,0,2,1941,À récupérer
Justin Kluivert,,Pays-Bas,"10,80 mio. €",https://www.transfermarkt.fr/justin-kluivert/profil/spieler/330659,29,8,2,1676,À récupérer
Serhou Guirassy,,Guinée,"9,00 mio. €",https://www.transfermarkt.fr/serhou-guirassy/profil/spieler/270541,29,14,2,2049,À récupérer
Geoffrey Kondogbia,,République Centrafricaine,"8,00 mio. €",https://www.transfermarkt.fr/geoffrey-kondogbia/profil/spieler/127189,27,0,2,1402,À récupérer
Stefan Posch,,Autriche,"5,00 mio. €",https://www.transfermarkt.fr/stefan-posch/profil/spieler/223974,33,6,2,2738,À récupérer
Maximilian Wöber,,Autriche,Montant du prêt:500 K €,https://www.transfermarkt.fr/maximilian-wober/profil/spieler/263361,40,2,6,3022,À récupérer
David Carmo,,Angola,Montant du prêt:250 K €,https://www.transfermarkt.fr/david-carmo/profil/spieler/498237,18,0,0,1414,À récupérer
Jonas Hofmann,,Allemagne,"10,00 mio. €",https://www.transfermarkt.fr/jonas-hofmann/profil/spieler/7161,33,14,12,2814,À récupérer
Valentín Barco,,Argentine,"9,15 mio. €",https://www.transfermarkt.fr/valentin-barco/profil/spieler/849410,34,1,4,2506,À récupérer
Fran Navarro,,Espagne,"7,00 mio. €",https://www.transfermarkt.fr/fran-navarro/profil/spieler/284883,43,21,3,3689,À récupérer
Paul Onuachu,,Nigeria,"Montant du prêt:1,50 mio. €",https://www.transfermarkt.fr/paul-onuachu/profil/spieler/272855,33,17,0,1861,À récupérer
Houssem Aouar,,Algérie,Tr. libre,https://www.transfermarkt.fr/houssem-aouar/profil/spieler/395693,18,1,1,571,À récupérer
Ellyes Skhiri,,Tunisie,Tr. libre,https://www.transfermarkt.fr/ellyes-skhiri/profil/spieler/290587,40,8,1,3548,À récupérer
Dodi Lukébakio,,Belgique,"10,00 mio. €",https://www.transfermarkt.fr/dodi-lukebakio/profil/spieler/303259,33,12,5,2522,À récupérer
Alexander Sørloth,,Norvège,"10,00 mio. €",https://www.transfermarkt.fr/alexander-sorloth/profil/spieler/238407,47,16,4,3156,À récupérer
Wilfried Singo,,Côte d'Ivoire,"9,10 mio. €",https://www.transfermarkt.fr/wilfried-singo/profil/spieler/648779,35,2,3,2383,À récupérer
Conor Coady,,Angleterre,"8,70 mio. €",https://www.transfermarkt.fr/conor-coady/profil/spieler/128901,25,2,1,2186,À récupérer
Borna Sosa,,Croatie,"8,00 mio. €",https://www.transfermarkt.fr/borna-sosa/profil/spieler/293194,30,2,12,2360,À récupérer
Luka Ivanušec,,Croatie,"7,80 mio. €",https://www.transfermarkt.fr/luka-ivanusec/profil/spieler/387105,48,13,5,3808,À récupérer
Dominik Livakovic,,Croatie,"6,65 mio. €",https://www.transfermarkt.fr/dominik-livakovic/profil/spieler/205927,50,0,1,4552,À récupérer
Leandro Paredes,,Argentine,"5,65 mio. €",https://www.transfermarkt.fr/leandro-paredes/profil/spieler/166237,39,1,2,1608,À récupérer
Javi Galán,,Espagne,"5,00 mio. €",https://www.transfermarkt.fr/javi-galan/profil/spieler/448628,40,1,4,3372,À récupérer
Amine Harit,,Maroc,"5,00 mio. €",https://www.transfermarkt.fr/amine-harit/profil/spieler/372711,16,1,3,901,À récupérer
Fran García,,Espagne,"5,00 mio. €",https://www.transfermarkt.fr/fran-garcia/profil/spieler/341264,40,2,3,3484,À récupérer
Bryan Zaragoza,,Espagne,"Montant du prêt:4,00 mio. €",https://www.transfermarkt.fr/bryan-zaragoza/profil/spieler/713644,36,5,1,1162,À récupérer
Mergim Berisha,,Allemagne,"4,00 mio. €",https://www.transfermarkt.fr/mergim-berisha/profil/spieler/307924,24,10,4,1705,À récupérer
Eric Dier,,Angleterre,"Montant du prêt:3,50 mio. €",https://www.transfermarkt.fr/eric-dier/profil/spieler/175722,42,2,1,3616,À récupérer
Sheraldo Becker,,Suriname,"3,00 mio. €",https://www.transfermarkt.fr/sheraldo-becker/profil/spieler/188888,48,12,10,3749,À récupérer
Çağlar Söyüncü,,Turquie,"Montant du prêt:2,00 mio. €",https://www.transfermarkt.fr/caglar-soyuncu/profil/spieler/320141,9,1,0,709,À récupérer
Joaquín Correa,,Argentine,"Montant du prêt:2,00 mio. €",https://www.transfermarkt.fr/joaquin-correa/profil/spieler/227081,41,4,3,1408,À récupérer
Angeliño,,Espagne,"Montant du prêt:1,50 mio. €",https://www.transfermarkt.fr/angelino/profil/spieler/277179,35,1,12,2801,À récupérer
Wout Weghorst,,Pays-Bas,"Montant du prêt:1,50 mio. €",https://www.transfermarkt.fr/wout-weghorst/profil/spieler/228645,49,11,7,3154,À récupérer
José Cifuentes,,Équateur,"1,40 mio. €",https://www.transfermarkt.fr/jose-cifuentes/profil/spieler/450211,26,2,5,1821,À récupérer
