Nom,Age,Nationalite,Valeur_Marchande,Prix_Raw,URL_Profil
Allan Saint-Maximin,26,France,"32,00 mio. €","27,20 mio. €",https://www.transfermarkt.fr/allan-saint-maximin/profil/spieler/272642
Seko Fofana,28,Côte d'Ivoire,"32,00 mio. €","25,00 mio. €",https://www.transfermarkt.fr/seko-fofana/profil/spieler/182893
Marcus Thuram,25,France,Inconnu,"32,00 mio. €",https://www.transfermarkt.fr/marcus-thuram/profil/spieler/318528
Benjamin Sesko,20,Slovénie,"24,00 mio. €","31,65 mio. €",https://www.transfermarkt.fr/benjamin-sesko/profil/spieler/627442
El Bilal Touré,21,Mali,"12,00 mio. €","30,20 mio. €",https://www.transfermarkt.fr/el-bilal-toure/profil/spieler/649016
Manuel Locatelli,25,Italie,"30,00 mio. €","36,40 mio. €",https://www.transfermarkt.fr/manuel-locatelli/profil/spieler/265088
Felix Nmecha,22,Allemagne,"15,00 mio. €","30,00 mio. €",https://www.transfermarkt.fr/felix-nmecha/profil/spieler/406640
Sacha Boey,23,France,"22,00 mio. €","30,00 mio. €",https://www.transfermarkt.fr/sacha-boey/profil/spieler/475413
Folarin Balogun,22,États-Unis,"30,00 mio. €","30,00 mio. €",https://www.transfermarkt.fr/folarin-balogun/profil/spieler/503770
Moise Kean,23,Italie,"18,00 mio. €","30,00 mio. €",https://www.transfermarkt.fr/moise-kean/profil/spieler/364135
Gabri Veiga,21,Espagne,"30,00 mio. €","30,00 mio. €",https://www.transfermarkt.fr/gabri-veiga/profil/spieler/699704
Sadio Mané,31,Sénégal,"25,00 mio. €","30,00 mio. €",https://www.transfermarkt.fr/sadio-mane/profil/spieler/200512
Castello Lukeba,20,France,"25,00 mio. €","30,00 mio. €",https://www.transfermarkt.fr/castello-lukeba/profil/spieler/618472
Roger Ibañez,24,Brésil,"30,00 mio. €","28,50 mio. €",https://www.transfermarkt.fr/roger-ibanez/profil/spieler/524481
Arthur Vermeeren,18,Belgique,"30,00 mio. €","20,00 mio. €",https://www.transfermarkt.fr/arthur-vermeeren/profil/spieler/926694
