Nom,Age,Nationalite,Prix_Raw,URL_Profil,Position,Matchs_22_23,Buts_22_23,Minutes_22_23
Jesper Karlsson,27,Suède,"11,15 mio. €",https://www.transfermarkt.fr/jesper-karlsson/profil/spieler/367992,Ailier gauche,33,13,2483
Sebastian Szymanski,26,Pologne,"10,70 mio. €",https://www.transfermarkt.fr/sebastian-szymanski/profil/spieler/320748,Milieu offensif,40,10,2812
Nuno Tavares,26,Portugal,"Montant du prêt:1,15 mio. €",https://www.transfermarkt.fr/nuno-tavares/profil/spieler/535955,Arrière gauche,39,6,3014
Kepa Arrizabalaga,31,Espagne,"Montant du prêt:1,00 mio. €",https://www.transfermarkt.fr/kepa-arrizabalaga/profil/spieler/192279,Gardien de but,39,0,3466
Robin Koch,29,Allemagne,Montant du prêt:500 K €,https://www.transfermarkt.fr/robin-koch/profil/spieler/328784,Défenseur central,39,0,3388
Manor Solomon,26,Israël,Tr. libre,https://www.transfermarkt.fr/manor-solomon/profil/spieler/396638,Ailier gauche,24,5,829
Nicolas Pépé,30,Côte d'Ivoire,Tr. libre,https://www.transfermarkt.fr/nicolas-pepe/profil/spieler/343052,Ailier droit,28,8,2145
Roberto Firmino,34,Brésil,Tr. libre,https://www.transfermarkt.fr/roberto-firmino/profil/spieler/131789,Avant-centre,35,13,1710
Nikola Vlašić,28,Croatie,"10,60 mio. €",https://www.transfermarkt.fr/nikola-vlasic/profil/spieler/293200,Milieu offensif,37,5,2983
Pablo Fornals,29,Espagne,"8,00 mio. €",https://www.transfermarkt.fr/pablo-fornals/profil/spieler/357885,Milieu central,50,7,2303
Nicolás Domínguez,27,Argentine,"6,65 mio. €",https://www.transfermarkt.fr/nicolas-dominguez/profil/spieler/497291,Milieu central,34,3,2485
Mateo Retegui,26,Italie,"15,25 mio. €",https://www.transfermarkt.fr/mateo-retegui/profil/spieler/554903,Avant-centre,28,12,2357
Jordan Beyer,25,Allemagne,"15,00 mio. €",https://www.transfermarkt.fr/jordan-beyer/profil/spieler/403898,Défenseur central,35,1,2954
Mateo Retegui,26,Italie,"8,43 mio. €",https://www.transfermarkt.fr/mateo-retegui/profil/spieler/554903,Avant-centre,28,12,2357
Max Aarons,26,Angleterre,"8,10 mio. €",https://www.transfermarkt.fr/max-aarons/profil/spieler/471690,Arrière droit,48,1,4040
Sergi Darder,32,Espagne,"8,00 mio. €",https://www.transfermarkt.fr/sergi-darder/profil/spieler/142021,Milieu central,41,7,3449
Odysseas Vlachodimos,31,Grèce,"4,90 mio. €",https://www.transfermarkt.fr/odysseas-vlachodimos/profil/spieler/124419,Gardien de but,54,0,4888
Moatasem Al-Musrati,29,Libye,"Montant du prêt:1,00 mio. €",https://www.transfermarkt.fr/moatasem-al-musrati/profil/spieler/377641,Milieu défensif,41,5,3470
Ben Brereton Díaz,26,Chili,Tr. libre,https://www.transfermarkt.fr/ben-brereton-diaz/profil/spieler/426192,Avant-centre,50,16,3911
Gift Orban,23,Nigeria,"14,00 mio. €",https://www.transfermarkt.fr/gift-orban/profil/spieler/1018259,Avant-centre,22,20,1671
Robin Gosens,31,Allemagne,"13,00 mio. €",https://www.transfermarkt.fr/robin-gosens/profil/spieler/273132,Arrière gauche,49,4,1826
Arsen Zakharyan,22,Russie,"13,00 mio. €",https://www.transfermarkt.fr/arsen-zakharyan/profil/spieler/555143,Milieu offensif,37,5,2905
Noa Lang,26,Pays-Bas,"12,50 mio. €",https://www.transfermarkt.fr/noa-lang/profil/spieler/339332,Ailier gauche,40,12,2862
Anton Stach,27,Allemagne,"12,00 mio. €",https://www.transfermarkt.fr/anton-stach/profil/spieler/344069,Milieu défensif,33,1,2291
Matteo Pessina,28,Italie,"12,00 mio. €",https://www.transfermarkt.fr/matteo-pessina/profil/spieler/332179,Milieu central,36,5,2995
Giovanni Simeone,30,Argentine,"12,00 mio. €",https://www.transfermarkt.fr/giovanni-simeone/profil/spieler/282388,Avant-centre,33,9,766
Tommaso Baldanzi,22,Italie,"11,50 mio. €",https://www.transfermarkt.fr/tommaso-baldanzi/profil/spieler/641537,Milieu offensif,27,4,1825
Ruslan Malinovskyi,32,Ukraine,"10,00 mio. €",https://www.transfermarkt.fr/ruslan-malinovskyi/profil/spieler/207877,Milieu offensif,38,3,2029
Sergio Canales,34,Espagne,"10,00 mio. €",https://www.transfermarkt.fr/sergio-canales/profil/spieler/66106,Milieu offensif,47,8,3445
Davinson Sánchez,29,Colombie,"9,50 mio. €",https://www.transfermarkt.fr/davinson-sanchez/profil/spieler/341429,Défenseur central,24,0,1231
Iván Fresneda,21,Espagne,"9,00 mio. €",https://www.transfermarkt.fr/ivan-fresneda/profil/spieler/946883,Arrière droit,24,0,1844
