Nom,Age,Position_Encoded,Valeur_Marchande_Clean,Matchs_22_23,Buts_22_23,Minutes_22_23,Duree_Contrat,Prix,Ligue_Autre,Ligue_Bundesliga,Ligue_LaLiga,Ligue_Ligue 1,Ligue_Premier League,Ligue_Serie A
Figueiredo,24,4,,22,0,954,5.0,2500000.0,True,False,False,False,False,False
Marcelo Benevenuto,30,2,,36,1,2796,3.0,2500000.0,True,False,False,False,False,False
Mads Bech Sørensen,27,2,,17,1,1106,4.0,2500000.0,True,False,False,False,False,False
Kazımcan Karataş,23,2,,13,0,905,3.0,2500000.0,True,False,False,False,False,False
Ilya Samoshnikov,28,2,,28,2,2403,5.0,2500000.0,True,False,False,False,False,False
Mousa Tamari,28,3,,36,6,2956,5.0,2500000.0,False,False,False,True,False,False
Tino Kadewere,30,4,,19,2,701,5.0,2500000.0,True,False,False,False,False,False
Rhys Healey,31,4,,6,2,127,3.0,2500000.0,True,False,False,False,False,False
Ryan Longman,25,4,,37,2,1878,4.0,2500000.0,True,False,False,False,False,False
Matías Pellegrini,25,4,,27,1,1279,3.0,2500000.0,True,False,False,False,False,False
Di'Shon Bernard,25,2,,13,0,868,4.0,2500000.0,True,False,False,False,False,False
Ally Samatta,33,4,,36,6,1573,3.0,2500000.0,False,False,False,True,False,False
Giuliano Simeone,23,4,,37,9,2901,7.0,2500000.0,False,False,True,False,False,False
Tiemoué Bakayoko,31,3,,3,0,39,1.0,2500000.0,True,False,False,False,False,False
Dmitriy Poloz,34,4,,30,9,1906,1.0,2500000.0,True,False,False,False,False,False
Zack Steffen,30,1,,45,0,4050,3.0,2500000.0,True,False,False,False,False,False
Omir Fernandez,27,4,,38,8,2235,3.0,2500000.0,True,False,False,False,False,False
Juan Fernando Quintero,33,3,,23,6,1689,4.0,2500000.0,True,False,False,False,False,False
Kaiky,22,2,,14,0,671,1.0,2500000.0,True,False,False,False,False,False
Konrad de la Fuente,24,4,,5,0,197,3.0,2500000.0,True,False,False,False,False,False
Ignacio Pussetto,30,4,,20,4,998,4.0,2500000.0,True,False,False,False,False,False
Emerson Rodríguez,25,4,,13,1,652,3.0,2500000.0,True,False,False,False,False,False
Robert Muric,29,4,,34,1,1109,1.0,2500000.0,True,False,False,False,False,False
Aboubakar Kamara,30,4,,22,4,1255,3.0,2500000.0,True,False,False,False,False,False
Diadié Samassékou,30,3,,28,2,1264,3.0,2500000.0,True,False,False,False,False,False
